tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s wire_ok layers_ok
fig1-3 W1-P4-r525000-p64 P4 W1 525000 64 3 0 525000 209636 0.399 21.5 151.5 322.5 433.5 - - - 0 1567 1704 602.5 277.9 23.42 0.00 22.51 1 0
fig1-3 W1-P4-r790000-p64 P4 W1 790000 64 1 0 790000 0 0.003 0.5 0.5 0.5 0.5 - - - 0 1615 0 617.6 296.2 0.01 0.00 0.00 0 0
fig1-3 W1-P4-r790000-p64 P4 W1 790000 64 2 0 790000 40 0.010 24.5 54.5 114.5 147.5 - - - 0 1419 1197 605.4 282.9 0.04 0.00 0.00 0 0
fig1-3 W1-P4-r790000-p64 P4 W1 790000 64 3 0 790000 27 0.004 47.5 370.5 509.5 557.5 - - - 0 2071 5601 744.1 352.6 0.05 0.00 0.01 0 0
fig1-3 W2-P0-r25000-p64 P0 W2 25000 64 1 0 25000 25000 0.396 144.5 583.5 2633.5 2794.5 22158 1774977 23 0 8123 0 1791.2 828.9 1.33 0.00 0.00 1 0
fig1-3 W2-P0-r25000-p64 P0 W2 25000 64 2 0 25000 24986 0.400 27.5 44.5 62.5 72.5 24984 1773982 1018 0 11276 0 2595.9 1199.8 18.23 0.00 0.00 1 0
fig1-3 W2-P0-r25000-p64 P0 W2 25000 64 3 0 25000 24987 0.400 141.5 762.5 2656.5 2815.5 21950 1774071 929 0 8536 13134 1734.2 802.6 23.71 0.00 0.00 1 0
fig1-3 W2-P0X-r25000-p64 P0X W2 25000 64 1 0 25000 24987 0.400 107.5 850.5 2566.5 2730.5 20438 1774075 925 0 8226 80 2000.1 925.1 0.05 0.00 0.00 1 0
fig1-3 W2-P0X-r25000-p64 P0X W2 25000 64 2 0 25000 24982 0.400 28.5 191.5 2160.5 2688.5 22792 1773732 1268 0 9289 64 2212.1 1022.9 0.04 0.00 0.00 1 0
fig1-3 W2-P0X-r25000-p64 P0X W2 25000 64 3 0 25000 24973 0.400 29.5 1191.5 2595.5 2756.5 21092 1773095 1905 0 9057 0 2183.5 1009.7 0.00 0.00 0.00 1 0
fig1-3 W2-P2-r25000-p64 P2 W2 25000 64 1 0 25000 24974 0.400 84.5 189.5 231.5 252.5 24962 1773142 1858 0 9008 5288 2017.4 933.1 19.80 0.00 3.30 1 0
fig1-3 W2-P2-r25000-p64 P2 W2 25000 64 2 0 25000 24975 0.400 30.5 49.5 208.5 231.5 24972 1773221 1779 0 9189 6509 2349.7 1086.3 12.25 0.00 4.06 1 0
fig1-3 W2-P2-r25000-p64 P2 W2 25000 64 3 0 25000 24973 0.400 131.5 716.5 2637.5 2833.5 21865 1773110 1890 0 7855 3738 1694.8 784.4 0.90 0.00 2.33 1 0
fig1-3 W2-P3-r25000-p64 P3 W2 25000 64 1 0 25000 24973 0.400 115.5 215.5 2292.5 2716.5 23806 1773118 1882 0 9038 4496 2076.0 960.2 19.48 0.00 2.80 1 0
fig1-3 W2-P3-r25000-p64 P3 W2 25000 64 2 0 25000 24977 0.400 126.5 197.5 2166.5 2699.5 23806 1773352 1648 0 9482 3134 2050.9 948.6 2.44 0.00 1.96 1 0
fig1-3 W2-P3-r25000-p64 P3 W2 25000 64 3 0 25000 24976 0.400 43.5 169.5 2280.5 2714.5 23824 1773275 1725 0 9640 5263 2202.9 1018.7 8.07 0.00 3.28 1 0
fig1-3 W2-P4-r25000-p64 P4 W2 25000 64 1 0 25000 24976 0.400 164.5 1935.5 2663.5 2760.5 17230 1773290 1710 0 6703 2047 1508.9 698.7 3.63 0.00 1.28 1 0
fig1-3 W2-P4-r25000-p64 P4 W2 25000 64 2 0 25000 24972 0.400 159.5 1876.5 2654.5 2755.5 18328 1773034 1966 0 7539 2883 1833.5 848.3 5.32 0.00 1.80 1 0
fig1-3 W2-P4-r25000-p64 P4 W2 25000 64 3 0 25000 24973 0.400 117.5 195.5 2124.5 2678.5 23955 1773088 1912 0 8555 3799 2142.1 990.6 12.99 0.00 2.37 1 0
