src,arm,target,rep,achieved,miss,skip,opq,n,slo_frac,p50,p99,p999,rc8,rc9
k1,P0X,60000,0,60012.3,0.0,0.0,11.5,0,,,,,30752417518,62506589212
k1,P0X,75000,0,74977.9,0.0,0.0,12.1,0,,,,,37931418335,76342770640
k1,P0X,90000,0,90019.4,0.0,0.0,12.6,0,,,,,44775200869,90501159839
k2,P0,160000,0,159936.69999999998,0.0,0.0,18.7,0,,,,,176465326348,1492367998
k2,P0,190000,0,189912.09999999998,0.0,0.0,22.6,0,,,,,198136692662,1909771294
k2,P0,220000,0,219981.69999999998,0.0,0.0,32.3,0,,,,,203431593212,2138090725
k2,P0,260000,0,260073.90000000002,0.0,0.0,33.9,0,,,,,204337118377,2301048131
k2,P0,300000,0,300045.89999999997,0.0,0.0,34.0,0,,,,,202576399392,1947067790
k2,P0X,160000,0,159990.19999999998,0.0,0.0,16.0,0,,,,,74318576397,148671913610
k2,P0X,190000,0,190025.3,0.0,0.0,17.2,0,,,,,86831584232,171125230740
k2,P0X,220000,0,219930.6,0.0,0.0,19.0,0,,,,,98176769922,189253743440
k2,P0X,260000,0,259982.0,0.0,0.0,22.9,0,,,,,109729760029,200937446143
k2,P0X,300000,0,300029.4,0.0,0.0,31.7,0,,,,,116493337741,203520076538
