tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s user_s nice_s system_s irq_s steal_s cpu8_busy_stat_s cpu9_busy_s cpu40_busy_s wire_ok layers_ok snd_full
fig1-3 W1-P0X-r790000-p64 P0X W1 790000 64 3 0 790000 317456 0.403 579.5 2022.5 3422.5 4041.5 - - - 5595571 1392 1528 464.4 214.2 30.56 0.00 0.00 - - - - - - - - 0 0 5
fig1-3 W1-P2-r1050000-p64 P2 W1 1050000 64 1 0 1050000 164013 0.155 84.5 2604.5 3396.5 3714.5 - - - 2753150 2321 1076 471.0 217.3 30.56 0.00 11.11 - - - - - - - - 0 0 5
fig1-3 W1-P2-r1050000-p64 P2 W1 1050000 64 2 0 1050000 158507 0.151 95.5 2783.5 3451.5 3747.5 - - - 3659620 1925 1095 472.2 217.9 30.58 0.00 10.94 - - - - - - - - 0 0 5
fig1-3 W1-P2-r1050000-p64 P2 W1 1050000 64 3 0 1050000 210986 0.203 104.5 2880.5 3495.5 3766.5 - - - 7488334 1276 876 454.1 209.5 30.57 0.00 11.65 - - - - - - - - 0 0 5
fig1-3 W1-P2-r130000-p64 P2 W1 130000 64 1 0 130000 51907 0.399 102.5 214.5 256.5 269.5 - - - 0 1255 1041 470.9 217.7 8.46 0.00 3.40 - - - - - - - - 1 0 5
fig1-3 W1-P2-r130000-p64 P2 W1 130000 64 2 0 130000 77475 0.600 109.5 158.5 182.5 193.5 - - - 0 1238 787 469.8 217.0 7.45 0.00 3.84 - - - - - - - - 1 0 5
fig1-3 W1-P2-r130000-p64 P2 W1 130000 64 3 0 130000 51904 0.399 77.5 111.5 121.5 148.5 - - - 0 1427 1119 473.9 219.1 9.52 0.00 3.66 - - - - - - - - 1 0 5
fig1-3 W1-P2-r1300000-p64 P2 W1 1300000 64 1 0 1300000 161368 0.123 86.5 2677.5 3423.5 3738.5 - - - 3056895 2166 848 469.8 216.8 30.57 0.00 8.63 - - - - - - - - 0 0 5
fig1-3 W1-P2-r1300000-p64 P2 W1 1300000 64 2 0 1300000 169071 0.129 86.5 1666.5 3284.5 3690.5 - - - 1841932 2045 765 487.7 225.0 30.57 0.00 8.15 - - - - - - - - 0 0 5
fig1-3 W1-P2-r1300000-p64 P2 W1 1300000 64 3 0 1300000 160235 0.125 92.5 2725.5 3449.5 3751.5 - - - 2776997 2191 660 474.0 218.7 30.56 0.00 6.67 - - - - - - - - 0 0 5
task1b W1-P2-r390000-p64 P2 W1 390000 64 1 1 390000 388158 0.999 268.5 374.5 421.5 433.5 - - - 1381 931 1086 444.1 204.8 50.68 0.00 26.56 1.79 0.00 46.05 0.00 0.00 47.84 0.022758600615384615 0.039371925846153843 1 1 5
task1b W1-P2-r390000-p64 P2 W1 390000 64 2 1 390000 388087 0.999 281.5 354.5 401.5 514.5 - - - 2614 934 1097 442.1 203.9 50.72 0.00 26.82 1.49 0.00 46.49 0.00 0.00 47.98 0.05213133292307692 0.04619069169230769 1 1 5
task1b W1-P2-r390000-p64 P2 W1 390000 64 3 1 390000 388131 0.999 271.5 336.5 397.5 423.5 - - - 1580 853 1178 442.8 204.2 50.54 0.00 28.80 1.91 0.00 46.07 0.00 0.00 47.98 0.04950173261538462 0.04972214646153846 1 1 5
fig1-3 W1-P2-r525000-p64 P2 W1 525000 64 1 0 525000 226977 0.441 101.5 2458.5 3320.5 3650.5 - - - 4809295 1416 707 460.6 212.5 30.58 0.00 10.11 - - - - - - - - 0 0 5
fig1-3 W1-P2-r525000-p64 P2 W1 525000 64 2 0 525000 228727 0.440 102.5 2460.5 3345.5 3703.5 - - - 4932391 1351 646 457.0 210.8 30.58 0.00 9.31 - - - - - - - - 0 0 5
fig1-3 W1-P2-r525000-p64 P2 W1 525000 64 3 0 525000 166436 0.317 89.5 2401.5 3324.5 3687.5 - - - 2394054 2104 802 470.6 217.1 30.58 0.00 8.41 - - - - - - - - 0 0 5
